Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Price_Change,Price_Change_Pct,High_Low_Range,MA_5,MA_20,MA_50,Price_to_MA20,Price_to_MA50,Return_5D,Return_20D,Momentum_10D,Volatility_5D,Volatility_20D,Volume_MA_20,Volume_Ratio,High_Volume_Flag,RSI_14,MACD,MACD_Signal,MACD_Histogram,Price_Range,Open_Close_Return,High_Low_Pct,Target_Return_1D,Target_Up
2024-11-25 00:00:00-05:00,229.79241557012372,231.56951255942457,228.08480637706975,231.19224548339844,90152800,0.0,0.0,0.013050888583300724,1.399829913274715,0.006091715036815657,0.01507276411917996,228.0530242919922,225.19489517211915,226.23259704589844,1.0266318217679644,1.0219227843478884,0.021270091949537218,-0.0011730341377721443,8.5777587890625,0.00573029374505011,0.010809512953317002,46524025.0,1.9377687119719327,1,69.70649008315894,0.6588970562738155,0.03383903545850092,0.6250580208153145,0.01507276411917996,0.006091715036815657,0.015278116231003558,0.00940427016222567,1
2024-11-26 00:00:00-05:00,231.64890834638587,233.8727750720934,231.64890834638587,233.36643981933594,45986200,0.0,0.0,0.00940427016222567,1.7175314729500712,0.0074143732651735066,0.009529505302601191,229.39925231933594,225.27664108276366,226.6000946044922,1.035910508509403,1.0298602929829033,0.029700316526794834,0.007055225812857779,10.751953125,0.005807115791651675,0.011011524022433295,47052475.0,0.9773385990853829,0,74.2156927692315,1.1325388928324855,0.2535790069332979,0.8789598858991876,0.009529505302601191,0.0074143732651735066,0.009600160611947127,-0.0005530308384982252,0
2024-11-27 00:00:00-05:00,232.78070364946953,233.99191506726265,232.12545514826604,233.2373809814453,33498400,0.0,0.0,-0.0005530308384982252,0.45667733197578286,0.0019618350009950386,0.008002404722359205,230.5767028808594,225.52895278930663,226.8876580810547,1.034179328626334,1.0279861979011755,0.02589509341783125,0.02211406621381129,9.73931884765625,0.006444491107349268,0.010381713048808779,46373850.0,0.7223553791630413,0,68.02438408385913,1.4804240837765406,0.49894802230194646,0.9814760614745941,0.008002404722359205,0.0019618350009950386,0.008040737788987609,0.010215862214021154,1
2024-11-29 00:00:00-05:00,233.11825362062933,236.0966394139658,232.28430923421996,235.62010192871094,28481400,0.0,0.0,0.010215862214021154,2.5018483080816054,0.01073209956416819,0.016179986972840222,232.3260040283203,226.10816345214843,227.06063354492187,1.0420680895874666,1.0376968400473332,0.038552329949958164,0.051706953406033485,9.04437255859375,0.00522366372684601,0.009500905815731512,44579415.0,0.6388912909691614,0,72.07327398377069,1.926187382061272,0.7843958942538116,1.1417914878074604,0.016179986972840222,0.01073209956416819,0.016412344821370304,0.009522588949499422,1
2024-12-02 00:00:00-05:00,235.5605381566453,239.0551666028684,235.45133007089746,237.8638153076172,48137100,0.0,0.0,0.009522588949499422,2.303277150971894,0.009777856550150343,0.015150839682405232,234.25599670410156,226.9483154296875,227.29177154541014,1.0480968534939907,1.0465130949982273,0.04228473993734916,0.07601094989942658,14.484878540039062,0.005179956785945622,0.008844738485037614,43722435.0,1.1009702455958823,0,83.36235433305336,2.4324669607206317,1.1140101075471758,1.318456853173456,0.015150839682405232,0.009777856550150343,0.015306078461675258,0.012771798032708892,1
2024-12-03 00:00:00-05:00,238.08222901174219,241.01097200063165,237.17878168890522,240.90176391601562,38861000,0.0,0.0,0.012771798032708892,2.8195349042734392,0.011842693660829176,0.01590768888293584,236.197900390625,227.98499145507813,227.6179818725586,1.056656240301163,1.0583599851565968,0.041997595604106985,0.09417125824713746,14.524581909179688,0.005117469099575807,0.008868723430672248,43418260.0,0.8950381705761585,0,85.314471839473,3.043747807796393,1.4999576475970193,1.5437901601993738,0.01590768888293584,0.011842693660829176,0.016157390996100637,0.0014836197560410547,1
2024-12-04 00:00:00-05:00,241.12017980186528,242.35125137710352,239.51185632927692,241.25917053222656,44383900,0.0,0.0,0.0014836197560410547,0.13899073036128584,0.0005764375693295275,0.011769065779190029,237.7764465332031,228.96813583374023,227.9334896850586,1.0536801099145567,1.0584630229878917,0.033821190052009564,0.0887329304927087,14.623870849609375,0.005852593570457469,0.008881697231437651,44231890.0,1.003436660744092,0,85.00984733917316,3.5164960327780364,1.9032653246332227,1.6132307081448136,0.011769065779190029,0.0005764375693295275,0.011854924809747397,0.00012345709464356425,1
2024-12-05 00:00:00-05:00,242.2321233137982,242.77814859306412,240.38552350615552,241.28895568847656,40033900,0.0,0.0,0.00012345709464356425,-0.9431676253216494,-0.003893652140017071,0.009916015758291341,239.3867614746094,229.98896560668945,228.2694271850586,1.0491327488341833,1.057035796093986,0.0345209445979493,0.09243617190385889,13.938827514648438,0.00564757354936049,0.00876127019742124,43505530.0,0.9202025581575491,0,82.96270011869015,3.8491848137291527,2.292449222452409,1.5567355912767438,0.009916015758291341,-0.003893652140017071,0.0099532827601714,-0.000822861380931128,0
2024-12-06 00:00:00-05:00,241.1599112680226,242.86752040520184,240.33588934668637,241.0904083251953,36870600,0.0,0.0,-0.000822861380931128,-0.06950294282728464,-0.00028820272184475887,0.010500753954096243,240.48082275390624,230.7638427734375,228.57858459472655,1.0447494955346899,1.054737515120467,0.023216637085317293,0.0686969569522149,14.216812133789062,0.006127144872394821,0.007867293309665062,43242175.0,0.8526536882106416,0,95.837739774227,4.050134526933618,2.643986283348651,1.4061482435849673,0.010500753954096243,-0.00028820272184475887,0.010533720391895257,0.01610116289762953,1
2024-12-09 00:00:00-05:00,240.08769312504634,245.4587194212017,240.00826768189094,244.9722442626953,44649200,0.0,0.0,0.01610116289762953,4.88455113764897,0.020344862637773437,0.02224926238364365,241.9025085449219,231.7462142944336,228.96002349853515,1.0570711802500388,1.069934569884697,0.02988444856938477,0.08719603529166298,16.758392333984375,0.007895411948182874,0.008280616208987908,43558195.0,1.0250470663442321,0,96.0197757479725,4.471080507769784,3.0094051282328778,1.4616753795369064,0.02224926238364365,0.020344862637773437,0.022709433270585607,0.004133669430149256,1
